info_type,state,q_values,action,reward
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 9.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 6.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 7.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.1000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 9.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 7.0000000e+00]","[-0.344233900308609, -0.34203264117240906, -0.2998487055301666, -0.32025137543678284, -0.2779448926448822, -0.35958412289619446, -0.28953447937965393, -0.2698809802532196]",7,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 9.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 6.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 7.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.1000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 9.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 7.0000000e+00]","[-0.344233900308609, -0.34203264117240906, -0.2998487055301666, -0.32025137543678284, -0.2779448926448822, -0.35958412289619446, -0.28953447937965393, -0.2698809802532196]",7,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 5.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 7.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.0000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 9.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.4000000e+01]","[-0.34421858191490173, -0.32127341628074646, -0.2784579396247864, -0.32023510336875916, -0.2779288589954376, -0.33823665976524353, -0.28951871395111084, -0.4199124276638031]",4,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 5.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 6.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.0000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 9.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.4000000e+01]","[-0.3442075550556183, -0.321262389421463, -0.27844637632369995, -0.32022374868392944, -0.2558737099170685, -0.3382251560688019, -0.2895069718360901, -0.41990068554878235]",4,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 5.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 7.0000000e+00
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.0000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 9.0000000e+00 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.4000000e+01]","[-0.34421858191490173, -0.32127341628074646, -0.2784579396247864, -0.32023510336875916, -0.2779288589954376, -0.33823665976524353, -0.28951871395111084, -0.4199124276638031]",4,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.1000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.0000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.2000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.1000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.0000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 1.1000000e+01 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.2000000e+01]","[-0.34436869621276855, -0.382972776889801, -0.38338181376457214, -0.3838461935520172, -0.3641768991947174, -0.3383975028991699, -0.33328375220298767, -0.37851640582084656]",6,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 9.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.4000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.1000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.1000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.3000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 1.3000000e+01 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.0000000e+01]","[-0.3444121181964874, -0.34221383929252625, -0.4666149318218231, -0.3629944622516632, -0.364222913980484, -0.40163514018058777, -0.3759571313858032, -0.3358876407146454]",7,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 9.0000000e+00 9.9669995e+02
 1.7195180e+04 4.7755219e+01 8.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 1.4000000e+01 1.6061669e+03 1.6568176e+04 4.2910995e+01
 9.0000000e+00 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.1000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.3000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 1.3000000e+01 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.4000000e+01]","[-0.3443891704082489, -0.32144835591316223, -0.4665888845920563, -0.3204170763492584, -0.3641997277736664, -0.40161195397377014, -0.3759337365627289, -0.4200930893421173]",3,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.1000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.0000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 9.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.4000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.3000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.1000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 1.0000000e+01 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.1000000e+01]","[-0.3846568763256073, -0.3627401292324066, -0.36293211579322815, -0.4248516261577606, -0.405769020318985, -0.35978010296821594, -0.3116476833820343, -0.3573625385761261]",6,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.1000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 9.0000000e+00 1.2238920e+03 1.7026033e+04
 3.5673668e+01 9.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.4000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.3000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.1000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 1.1000000e+01 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.1000000e+01]","[-0.38465097546577454, -0.34221282601356506, -0.3629245460033417, -0.4248445928096771, -0.4057619869709015, -0.35977283120155334, -0.33332809805870056, -0.3573555052280426]",6,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.1000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.1000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 9.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.3000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.2000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.1000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 1.4000000e+01 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.1000000e+01]","[-0.384653240442276, -0.3830176293849945, -0.36292728781700134, -0.404514878988266, -0.38513317704200745, -0.35977527499198914, -0.3968629539012909, -0.35735782980918884]",7,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.1000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.1000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 9.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.3000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.2000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.1000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 1.4000000e+01 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.1000000e+01]","[-0.384653240442276, -0.3830176293849945, -0.36292728781700134, -0.404514878988266, -0.38513317704200745, -0.35977527499198914, -0.3968629539012909, -0.35735782980918884]",7,-0.5
dropped,"[7.3142090e+02 1.7374389e+04 4.9774845e+01 1.1000000e+01 9.9669995e+02
 1.7195180e+04 4.7755219e+01 1.1000000e+01 1.2238920e+03 1.7026033e+04
 3.5673668e+01 9.0000000e+00 1.6061669e+03 1.6568176e+04 4.2910995e+01
 1.3000000e+01 1.7368871e+03 1.6528461e+04 4.1564919e+01 1.2000000e+01
 1.7448601e+03 1.6400275e+04 4.0177883e+01 1.1000000e+01 1.8007877e+03
 1.6293619e+04 4.8351456e+01 1.4000000e+01 1.8508022e+03 1.6234402e+04
 3.6883255e+01 1.1000000e+01]","[-0.384653240442276, -0.3830176293849945, -0.36292728781700134, -0.404514878988266, -0.38513317704200745, -0.35977527499198914, -0.3968629539012909, -0.35735782980918884]",7,-0.5
