average_aoi,dropped_ratio
1.263,0.3133
1.0485,0.3313
1.1025,0.253
0.8985,0.2651
0.8731,0.3012
0.8597,0.3614
0.9019,0.3855
0.7897,0.494
0.7227,0.488
0.9522,0.4819
0.781,0.4759
0.7869,0.3614
0.7734,0.5181
0.774,0.4819
0.7705,0.5181
0.7758,0.5482
0.6879,0.5904
0.8066,0.5602
0.7764,0.5482
0.6987,0.2711
0.6903,0.1386
0.6699,0.1386
0.6834,0.0904
0.671,0.1446
0.6235,0.1687
0.7033,0.1566
0.6968,0.1446
0.6808,0.1446
0.6704,0.1386
0.668,0.0482
0.7159,0.1145
0.6911,0.1627
0.6744,0.1386
0.6834,0.1627
0.6622,0.0542
0.6606,0.1024
0.6777,0.1084
0.6696,0.1325
0.7121,0.2048
0.6949,0.0723
0.6697,0.1024
0.6522,0.0843
0.6452,0.1024
0.6826,0.1024
0.6648,0.0904
0.6482,0.1024
0.6575,0.1205
0.6585,0.1145
0.6587,0.0843
0.6505,0.1566
0.6533,0.1084
0.6527,0.1024
0.6558,0.1506
0.659,0.1325
0.6579,0.1867
0.663,0.0964
0.6779,0.1325
0.6475,0.1265
0.6557,0.1205
0.656,0.1024
0.6108,0.1145
0.6218,0.1386
0.6268,0.0843
0.677,0.1747
0.6562,0.1325
0.6808,0.1867
0.6616,0.1506
0.6455,0.0783
0.6503,0.1566
0.6597,0.1506
0.6715,0.0482
0.6832,0.1084
0.6839,0.1265
0.6989,0.0783
0.6715,0.0723
0.673,0.0964
0.7102,0.1325
0.6836,0.0723
0.7119,0.1566
0.6489,0.1145
0.6371,0.1325
0.671,0.1145
0.6613,0.0843
0.6355,0.0542
0.6381,0.1687
0.6676,0.0843
0.6508,0.1747
0.6466,0.0542
0.6522,0.0723
0.6776,0.1928
0.6479,0.1145
0.6724,0.0301
0.6827,0.1265
0.6377,0.0663
0.6412,0.1205
0.6654,0.1205
0.6509,0.1386
0.6569,0.1205
0.6629,0.1265
0.6765,0.1566
